filename,kl_divergence
-SWaCArvQug.wav,3.3630836
hDsA_ky9Hfw.wav,3.3592525
8XBsesSEbbU.wav,3.3500988
ZhafwFYgltI.wav,3.3424392
gDm4IphrlYg.wav,3.3375168
nj6N7m8SeK4.wav,3.33177
BjIksWR4oKw.wav,3.3311915
3kSQNjfJnN8.wav,3.3302774
pWms_9wpRB4.wav,3.3241627
-Gf4Ihv1zwc.wav,3.321646
rsCQ1PIGcm0.wav,3.3210824
Ld5G00HlbQs.wav,3.3199677
C7WAx3n57Hk.wav,3.318238
Pq1jBX0RW2k.wav,3.3177876
71hqRT9U0wg.wav,3.3173697
DNYDyXn6qso.wav,3.300337
ZsmxO0wnqdQ.wav,3.2966309
vKjC5HTH22o.wav,3.2935908
g0scnRzoo9M.wav,3.291854
hUcuXIvDN2E.wav,3.2899933
XjrVSk0_4vc.wav,3.288577
5qVc9y3TNnY.wav,3.2862165
G-7BfzMgZL8.wav,3.2841852
dW4eW0Xreik.wav,3.280388
HOIIp5NyFx0.wav,3.2776537
ndjLkbP6Y9Y.wav,3.2673204
OZv8mtQEgA0.wav,3.2654932
wFTlySgdWX4.wav,3.2614102
Xf0aZ3a3Toc.wav,3.2584953
5NCUtndrsHg.wav,3.25743
tUppIOzUo2Q.wav,3.2481728
7yK4-hsVX1o.wav,3.2396708
HyJ2YaNrA3U.wav,3.2389834
cKmK-nFdMXM.wav,3.2333534
4W8BYc8ZMaE.wav,3.2234902
hu6sChY-Yps.wav,3.2224026
hgGCfJoYDUU.wav,3.21255
4ufDENm_ECk.wav,3.2124586
J7jVR6y6REA.wav,3.2118623
5tt_GKV13G0.wav,3.211779
t-CMJ6RsZzY.wav,3.209897
HVsXJDR1_Lw.wav,3.2097712
rkapTdi8NTQ.wav,3.2052302
uJPW9BEhU6Y.wav,3.205201
TqWmuwAYmnI.wav,3.2013962
oVhhEku6ECA.wav,3.1986718
uGQ7QnKqeY4.wav,3.192633
pNlrM-GhFZU.wav,3.1854064
8hO1S9VIfPY.wav,3.1843882
c8uE3Q8p9Jo.wav,3.1824193
2YQPwRLB1s0.wav,3.1813428
Orge4_UlvNI.wav,3.1777678
3tbFP_JKzXw.wav,3.1772697
snYtQd1S12s.wav,3.1745706
2nsZhXxes68.wav,3.1618192
YWf3I4jKusI.wav,3.1612673
4HfU5OQUqq0.wav,3.1579828
05JAmKFVy44.wav,3.15359
WT_wvvEvkw4.wav,3.1526797
xJYBA7VTkHA.wav,3.1525924
xl4FJzeU0YA.wav,3.1509569
5JQIsqc8HBc.wav,3.1482744
uPGasFKZSBo.wav,3.1450016
SKt_3Nv2DHo.wav,3.14473
9STauy5DsC8.wav,3.1387045
WxgolzWTmO4.wav,3.1374981
cbq6Q2htPRM.wav,3.1349616
AD3aI9avJ8Q.wav,3.1297808
EUNTykrvpok.wav,3.1238284
zU4mwg-HHoQ.wav,3.1233137
SUclDZHax0w.wav,3.120844
oOiwmRV1PBk.wav,3.1198776
Dg8BLvkzdr0.wav,3.1058314
Js_3Aa214xY.wav,3.1012523
bxoJOfGx3hM.wav,3.100735
ALcCb2HJmG8.wav,3.0994344
58JwiVM8bYM.wav,3.0978675
w3QIsHxQfPE.wav,3.0959563
On9epzZ_ceI.wav,3.095396
7-mNJ4IUY5Q.wav,3.0932324
tG5C-Smp-eY.wav,3.0913455
oGbNzR_lpSk.wav,3.0789769
fX8A5Uxc8R0.wav,3.0767012
1hWAOReJehw.wav,3.0765483
HQb2jhmw1BE.wav,3.065496
JWNWCKdfpzM.wav,3.0588
3TO4C7SiC7I.wav,3.0564134
e57SBRbMXbI.wav,3.0504143
aUx0xMF9pwU.wav,3.048596
sl37XQfkJCQ.wav,3.03202
kSKXtXXAD70.wav,3.0317607
L_ghM-NrH58.wav,3.028562
h7DOBV43UPQ.wav,3.0176015
TakkuFZJsis.wav,3.0137713
KxVbdGPAfjE.wav,3.0127208
42QgE4mM55I.wav,3.011099
P54hbuQLkc4.wav,3.0076218
MJtDDmS6xSY.wav,3.0015037
MQrOnSzVlJg.wav,2.9999003
71KE7B1vvdI.wav,2.9966242
AzsBSUmhl1M.wav,2.9960938
ao-TFiShaWU.wav,2.9946346
NPXZIqxKvXA.wav,2.9842336
ow7xqVk8Wjs.wav,2.975662
7wSTdp1hiTA.wav,2.97363
a4jcJ7QZ-OQ.wav,2.9732575
qMbGFWz9who.wav,2.96326
6F8qv0JBWkE.wav,2.9474232
z7vNtEcM9Bk.wav,2.9446945
lGaA1dJQ0AQ.wav,2.941754
2ZfthfWQowE.wav,2.939746
AUs5OVYg078.wav,2.9377842
OEIj1UX5ZRg.wav,2.9349346
1cqcTbDxsHM.wav,2.9280605
gEvCUcZ6w88.wav,2.926245
9M4IT3lOU10.wav,2.9241855
Wh_g-Eiw9Kc.wav,2.9232397
BUzsQ6WohH4.wav,2.9153101
gDnJoHpSL4M.wav,2.9144008
390At7lW4iw.wav,2.9111366
vDrbslhtX8o.wav,2.9076912
Qa-Qs9CtOOw.wav,2.9074473
pWZqzEpygE0.wav,2.9061067
4Psj5jYa7a4.wav,2.900515
HflVPAOVL7U.wav,2.8969953
PlQibWaPAcM.wav,2.895625
JCsuOzlwJqA.wav,2.8929605
9r01cpNx2vk.wav,2.8927984
xIdWJyhWueE.wav,2.8908968
JvqCsVj0I4k.wav,2.8906398
B1vY7kxQ9Xg.wav,2.8867772
h0-6U948u7Y.wav,2.880465
_yXtw_z2xf4.wav,2.8746061
oXBGZoBYaLY.wav,2.8698583
ew-7SwLcHBg.wav,2.8688061
2sIfE3KOi5s.wav,2.8604467
ltZCJ7aPtO0.wav,2.8512847
MSqQKf3O3vY.wav,2.848467
KTqf_FXZygM.wav,2.847535
iS8YQGp2_ng.wav,2.8448803
eZ8yopmYtPM.wav,2.84126
ESFANzZTdYM.wav,2.8407977
r_TgaHCsYB0.wav,2.8390872
aJHv6TV7JpY.wav,2.8368556
QBMM1ocXkhY.wav,2.8346436
20Vh6z6Ie0E.wav,2.8304741
1tNkAc29aPE.wav,2.8301563
kaabXWuPWRg.wav,2.8290954
DUmXpq-Cksg.wav,2.8269684
BRTHyoVgZT0.wav,2.818389
HDSV7Pzq8CA.wav,2.8160954
Uvn7waPvseo.wav,2.8132143
0EvpBtracsk.wav,2.8131826
4W3Ql8JbEN8.wav,2.8092318
40D4L5Ndi6k.wav,2.8087049
I1fcUe9MoMw.wav,2.8085577
w2vMywh5Nto.wav,2.8039467
AEwkS57P4eE.wav,2.8033984
TKSFbf-wQ8I.wav,2.7846916
DKBbLySEGic.wav,2.7796876
Brc_nOquNbY.wav,2.779354
iEMTTKA7NxU.wav,2.7775652
SWyF5TSxWso.wav,2.7764583
-7B9tPuIP-w.wav,2.7731938
sR8rlTIU8_Y.wav,2.772003
IlUcHzBzZvg.wav,2.7698975
_qP21HqOmA0.wav,2.7690063
GwxSvUoYSZg.wav,2.7501884
0J_TdiZ3TKA.wav,2.7460148
6KqFiP_ux5U.wav,2.7445145
f8nysknTFUo.wav,2.744442
r6yGS_yQmj4.wav,2.743938
4PNPgaLKFlc.wav,2.7351022
UD0pisqyLKA.wav,2.7259638
50QEapyTPD4.wav,2.7256684
AzhfZ8rNhRk.wav,2.7248464
K-zkbbliQcI.wav,2.721951
-IZbvEO9wzU.wav,2.721262
vK9x7UQ9Y7k.wav,2.7177975
0ewQiU3q5jM.wav,2.714277
_cg_IfaD1C0.wav,2.7141063
i_G_0vgEYJg.wav,2.7104247
DU5pD63Pv30.wav,2.7093155
CPr0YRTcaKg.wav,2.7081544
OMcoFfaCaGM.wav,2.7061903
AFwmMFq_xlc.wav,2.6947405
HEk4fx_XNNE.wav,2.6933937
_n9boKzVRhs.wav,2.6880755
VNzEAjztgxg.wav,2.6877441
YFXSbPFaxcA.wav,2.6830513
NJGo2fmUAII.wav,2.6818721
6VJ_auuKzss.wav,2.6800108
AAoqx07aTRI.wav,2.679771
3sIlpn9nvKU.wav,2.678912
eYngZ5It0b8.wav,2.6788487
CWKBzt-v8w4.wav,2.6717393
Ca3b8qNUbsk.wav,2.6686141
CZWLPPO0KL4.wav,2.6678097
iX53Jb72Nwk.wav,2.6658902
-U16iKiXGuY.wav,2.662201
vmz9kAEiTSc.wav,2.6534786
CRIFRYhiKUA.wav,2.638476
azyNUtTHvaE.wav,2.635652
1pR0SgbqP3M.wav,2.6353064
B41tuPoJ61c.wav,2.6336982
fWypK9RHJJI.wav,2.6324995
78S8DnvLQDY.wav,2.6218603
nyjXFx0GSX8.wav,2.6179655
cBd0yZ27dtA.wav,2.6152987
r7Ve8ExE8YY.wav,2.614902
TIL8jEw8pSc.wav,2.613993
VzYc-c-uHjI.wav,2.6132634
mJuJfKbcJcw.wav,2.6123886
f6H0TMWDaZg.wav,2.6117759
w5qf9O6c20o.wav,2.6065845
Vt3HzkNtOP4.wav,2.6059864
LRUdmYcXFuM.wav,2.604202
CuUu6L5hhMs.wav,2.6028903
ZkfKOLp5SxU.wav,2.6006556
UOAv5b6MGxw.wav,2.599013
5QtjEBcZR6M.wav,2.5906937
qET3h3w35EA.wav,2.587389
OH8urnIthoQ.wav,2.5871053
KWpsFxRTGkI.wav,2.5853271
tt5-i1R78ms.wav,2.584116
v582kPp43Mg.wav,2.5774183
jd94Ox7KJ9Q.wav,2.5769796
Jjr0_CbcYdg.wav,2.5738654
yn4-OtUmyWo.wav,2.5721328
OZjpYGdvMX0.wav,2.5720189
OH2SQhJqZDg.wav,2.5574808
ZwfzBagtpV0.wav,2.5537834
EZAwPnGOJPE.wav,2.5421028
_IkLUOsNHAA.wav,2.5400138
7_Sr2zv1sQc.wav,2.538931
KUE_I30--AY.wav,2.535994
XE4NRSDLYG8.wav,2.5317867
